Station,Cluster,Line,Latitude,Longitude
West Ruislip,0,Central,51.56958715703546,-0.4378601343740381
Ruislip Gardens,1,Central,51.55995951052218,-0.40929410137403394
South Ruislip,1,Central,51.55688965147795,-0.3991159010068219
Northolt,0,Central,51.54821230018008,-0.3684405875976204
Greenford,2,Central,51.54197950701463,-0.3458787331310219
Perivale,1,Central,51.53634129467288,-0.3230704159011666
Hanger Lane,3,Central,51.5300715563412,-0.29299614055716494
Ealing Broadway,3,Central,51.51486148277942,-0.3020103761336258
West Acton,2,Central,51.51776969314101,-0.28065717090448683
North Acton,3,Central,51.523432004609894,-0.2597295239222282
East Acton,3,Central,51.51626301045364,-0.2481122212813141
White City,1,Central,51.51223207227981,-0.2246319285152728
Shepherds Bush,3,Central,51.504531795613886,-0.2185191566688487
Holland Park,3,Central,51.50714614814041,-0.20655777541232848
Notting Hill Gate,4,Central,51.50937501801177,-0.19592161622639087
Queensway,4,Central,51.51044892854765,-0.1874199010483689
Lancaster Gate,4,Central,51.511890658328326,-0.17542992678979158
Marble Arch,4,Central,51.51396523465938,-0.15857121479275763
Bond Street,5,Central & Jubilee,51.513797282327445,-0.14961360853164615
Oxford Circus,5,Central & Victoria,51.51522317440166,-0.1408361701333405
Tottenham Court Road,5,Central & Northern,51.516210657936185,-0.1311104379402324
Holborn,5,Central,51.51723554139566,-0.11984050660293674
Chancery Lane,0,Central,51.518493835819875,-0.11196202676241712
St. Pauls,0,Central,51.514835138739876,-0.09757100011698537
Bank,1,Central & Northern,51.51334691914183,-0.08900012349437465
Liverpool Street,1,Central,51.51759813225402,-0.08224962188885442
Bethnal Green,3,Central,51.527191653122124,-0.05539211145016204
Mile End,4,Central,51.525310919564504,-0.0326660842711517
Stratford,4,Central & Jubilee,51.54169257587399,-0.003751641027190752
Leyton,2,Central,51.55813226231266,-0.006465331580603041
Leytonstone,0,Central & Central,51.56852230672617,0.009140451957061277
Snaresbrook,1,Central,51.58089131157066,0.021463927810755047
South Woodford,1,Central,51.59155266475493,0.02794307837440943
Woodford,1,Central,51.607201902790344,0.034056202416625964
Buckhurst Hill,6,Central,51.62657674004732,0.04671254142876922
Loughton,2,Central,51.641570570828016,0.055279079287447894
Debden,3,Central,51.64549214152591,0.08380147525632461
Theydon Bois,6,Central,51.67255225418,0.10289073688168189
Wanstead,1,Central,51.574902199570865,0.02876047243622503
Redbridge,0,Central,51.576366994360605,0.045394044087077395
Gants Hill,0,Central,51.57655306294169,0.06608409806317944
Newbury Park,0,Central,51.57563850646377,0.09030315819789672
Barkingside,0,Central,51.58585076146283,0.08847664010592626
Fairlop,2,Central,51.59610969417489,0.0905932799159299
Hainault,1,Central,51.602845483752255,0.09410855083015249
Grange Hill,6,Central,51.61348057933538,0.09227253016869208
Chigwell,6,Central,51.61785799974183,0.07617921535230276
Roding Valley,6,Central,51.61695652081232,0.04402620712663845
Epping,1,Central,51.69368635497796,0.11382555351421217
Morden,1,Northern,51.40218564474951,-0.1948519795190437
South Wimbledon,2,Northern,51.41536039779992,-0.19197454409905726
Colliers Wood,1,Northern,51.41875889952969,-0.17741509804960517
Tooting Broadway,2,Northern,51.42704887092591,-0.16868452577766038
Tooting Bec,6,Northern,51.435837804955476,-0.15970049083173754
Balham,6,Northern,51.443182314397006,-0.15268516199326135
Clapham South,6,Northern,51.45267624920499,-0.14798406833029198
Clapham Common,2,Northern,51.461803445807924,-0.1383149013879234
Clapham North,2,Northern,51.46491600472909,-0.1299100619146426
Stockwell,6,Northern & Victoria,51.47215905711563,-0.12284630335652602
Oval,3,Northern,51.48141241737747,-0.11332107512133172
Kennington,2,Northern,51.48866228881571,-0.1050706127740003
Waterloo,1,Northern & Jubilee,51.50314645678346,-0.11325925125819598
Embankment,4,Northern,51.50731229694681,-0.1223673356621198
Charing Cross,3,Northern,51.50835842818622,-0.12480293723304417
Leicester Square,5,Northern,51.51129097417173,-0.12824214662980674
Goodge Street,0,Northern,51.52061289126984,-0.13480768911472682
Warren Street,0,Northern & Victoria,51.524579764761874,-0.13827833053848032
Euston,4,Northern & Victoria,51.528664114832,-0.13329647081915122
Mornington Crescent,6,Northern,51.53436199274684,-0.13874434872471417
Elephant and Castle,4,Northern,51.49584922002923,-0.10073871425628238
Borough,2,Northern,51.50104871772216,-0.09419732263858394
London Bridge,3,Northern & Jubilee,51.50467420930433,-0.08600559774813961
Moorgate,1,Northern,51.51843699583112,-0.08901768741961913
Old Street,1,Northern,51.525581330743044,-0.08762295738735129
Angel,3,Northern,51.53296784539842,-0.10558144830378893
Kings Cross St. Pancras,3,Northern & Victoria,51.53031226194627,-0.12387212868703427
Camden Town,4,Northern,51.53996912160411,-0.14245237987648948
Kentish Town,3,Northern,51.55000929428177,-0.14047126270052573
Tufnell Park,2,Northern,51.55644057500823,-0.13774217405279293
Archway,0,Northern,51.56549031545965,-0.13512157562147284
Highgate,1,Northern,51.57764637933854,-0.1469348609337413
East Finchley,1,Northern,51.5873322776344,-0.16474388444671967
Finchley Central,0,Northern,51.60090293685636,-0.19322063471165793
West Finchley,6,Northern,51.60926242118551,-0.18891710747921014
Woodside Park,2,Northern,51.61786809900362,-0.1854255027302192
Totteridge and Whetstone,6,Northern,51.63024642876388,-0.17935426123339493
Chalk Farm,3,Northern,51.54414883734655,-0.15373306950607965
Belsize Park,3,Northern,51.55019061178192,-0.16397449102551867
Hampstead,4,Northern,51.55654230644866,-0.17801455810844966
Golders Green,0,Northern,51.57221521685042,-0.19483455693826343
Brent Cross,2,Northern,51.57659886839313,-0.21333583786630983
Hendon Central,3,Northern,51.583132678162094,-0.22673413710008808
Colindale,1,Northern,51.59523010894074,-0.2502875400711353
Burnt Oak,0,Northern,51.60255148173764,-0.2643307082008112
Edgware,0,Northern,51.61422917451505,-0.2750936620617057
West Ham,1,Jubilee,51.528525530726974,0.005317393832787913
Canning Town,3,Jubilee,51.51387030350512,0.008305632748764395
North Greenwich,1,Jubilee,51.5002551610895,0.003586259125950833
Canary Wharf,0,Jubilee,51.50357837512887,-0.019466840139324412
Canada Water,0,Jubilee,51.498168331250874,-0.05080712084909722
Bermondsey,3,Jubilee,51.49796067750633,-0.06433008981152362
Southwark,1,Jubilee,51.50385344972166,-0.1057949389250921
Westminster,5,Jubilee,51.501401389193255,-0.1250020783467796
Green Park,5,Jubilee & Victoria,51.50676025371464,-0.1424775744225331
Baker Street,3,Jubilee,51.52312936605881,-0.15690419298618452
St. Johns Wood,4,Jubilee,51.53485412839329,-0.1740648386620702
Swiss Cottage,3,Jubilee,51.5430345616616,-0.1756266026411379
Finchley Road,3,Jubilee,51.547095906434386,-0.18005055863249353
West Hampstead,1,Jubilee,51.54747402267271,-0.19112658344309522
Kilburn,0,Jubilee,51.54694410286596,-0.2046327166992552
Willesden Green,1,Jubilee,51.54937292482699,-0.22240760124964687
Dollis Hill,0,Jubilee,51.55185020227431,-0.23879775836475764
Neasden,0,Jubilee,51.554627310041155,-0.2501150416936122
Wembley Park,3,Jubilee,51.563322003491564,-0.2792425481111569
Kingsbury,0,Jubilee,51.58487606349117,-0.2786016037131724
Queensbury,1,Jubilee,51.59388250931327,-0.286331592620629
Canons Park,1,Jubilee,51.60765009028535,-0.294391591494146
Stanmore,1,Jubilee,51.619672950483576,-0.3030992875952985
Brixton,6,Victoria,51.46273661697816,-0.11455209682922837
Vauxhall,3,Victoria,51.48573560145266,-0.12382995197041927
Pimlico,4,Victoria,51.48955264664939,-0.13310825739138485
Victoria,3,Victoria,51.49642371956767,-0.14392070512630392
Highbury and Islington,3,Victoria,51.54649533884997,-0.10408213923935299
Finsbury Park,1,Victoria,51.564635274841386,-0.10588148552890234
Seven Sisters,3,Victoria,51.58336204399537,-0.07246682251889108
Tottenham Hale,0,Victoria,51.58799768229062,-0.06018782248556836
Blackhorse Road,1,Victoria,51.58577656484627,-0.039625711465052844
Walthamstow Central,0,Victoria,51.58301808337606,-0.019940545005550973
